Game,Category,Points,Question,Answer
"Hematology, Nephrology, Pulmonary Medicine",N/A,N/A,"Q:
Scoring system used to predict ADAMTS13 deficiency in suspected thrombotic thrombocytopenic purpura

   [ image ]





     150
     Show Answer



HEMAT: 50
Score: 140","A: PLASMIC score


 


HEMAT: 50	Score: 140"
"Hematology, Nephrology, Pulmonary Medicine",N/A,N/A,"Q:
Interstitial lung disease associated with working in the yarn and fabric industries

   [ image ]





     350
     Show Answer



PULM: 50
Score: 190","A: Byssinosis


 


PULM: 50	Score: 190"
"Ophthalmology, Pulmonary Medicine, Ear, Nose, & Throat",N/A,N/A,"Q: Yellow protein and lipid deposits in macular degeneration

Show Answer


OPHTHA: 10	Score: 0","A: Drusen


 


OPHTHA: 10	Score: 0"
"Ophthalmology, Pulmonary Medicine, Ear, Nose, & Throat",N/A,N/A,"Q:
Collection of squamous epithelium and infected debris in the middle ear

   [ image ]





     310
     Show Answer



ENT: 10
Score: 10","A: Cholesteatoma


 


ENT: 10	Score: 10"
"Ophthalmology, Pulmonary Medicine, Ear, Nose, & Throat",N/A,N/A,"Q:
Spirometry ratio used to indicate an obstructive defect

   [ image ]





     220
     Show Answer



PULM: 20
Score: 20","A: FEV1/FVC (accept forced expiratory volume in one second/forced vital capacity)


 


PULM: 20	Score: 20"
"Ophthalmology, Pulmonary Medicine, Ear, Nose, & Throat",N/A,N/A,"Q:
Leading cause of visual impairment that can be treated surgically

   [ image ]





     130
     Show Answer



OPHTHA: 30
Score: 40","A: Cataracts


 


OPHTHA: 30	Score: 40"
"Ophthalmology, Pulmonary Medicine, Ear, Nose, & Throat",N/A,N/A,"Q:
Condition that presents with the ENT features shown

   [ image ]





     330
     Show Answer



ENT: 30
Score: 70","A: Relapsing polychondritis


 


ENT: 30	Score: 70"
"Ophthalmology, Pulmonary Medicine, Ear, Nose, & Throat",N/A,N/A,"Q:
Pulmonary cause for cryptogenic stroke

   [ image ]





     240
     Show Answer



PULM: 40
Score: 100","A: Pulmonary arteriovenous malformations (accept PAVM, pulmonary shunt, or pulmonary arteriovenous fistula)


 


PULM: 40	Score: 100"
"Ophthalmology, Pulmonary Medicine, Ear, Nose, & Throat",N/A,N/A,"Q:
Vitamin deficiency associated with Bitot's spots

   [ image ]





     150
     Show Answer



OPHTHA: 50
Score: 140","A: Vitamin A (A, niacin, or vitamin B3 also acceptable)


 


OPHTHA: 50	Score: 140"
"Ophthalmology, Pulmonary Medicine, Ear, Nose, & Throat",N/A,N/A,"Q:
Cranial nerve most commonly injured during parotid surgery

   [ image ]





     350
     Show Answer



ENT: 50
Score: 190","A: Seventh (accept facial)


 


ENT: 50	Score: 190"
"Ethics & Professionalism, Hematology, Neurology",N/A,N/A,"Q: Right of patients to make decisions about their medical care

Show Answer


ETHICS: 10	Score: 0","A: Patient autonomy (accept autonomy)


 


ETHICS: 10	Score: 0"
"Ethics & Professionalism, Hematology, Neurology",N/A,N/A,"Q:
Preferred medication for treatment of hemicrania continua

   [ image ]





     310
     Show Answer



NEURO: 10
Score: 10","A: Indomethacin (accept Indocin; if 'NSAIDs' given, ask to be more specific)


 


NEURO: 10	Score: 10"
"Ethics & Professionalism, Hematology, Neurology",N/A,N/A,"Q:
Vitamin derivative used in treatment of acute promyelocytic leukemia

   [ image ]





     220
     Show Answer



HEMAT: 20
Score: 20","A: All-trans retinoic acid (ATRA)


 


HEMAT: 20	Score: 20"
"Ethics & Professionalism, Hematology, Neurology",N/A,N/A,"Q:
Ethical principles requiring all people be treated fairly and that health resources be distributed equitably

   [ image ]





     130
     Show Answer



ETHICS: 30
Score: 40","A: Justice


 


ETHICS: 30	Score: 40"
"Ethics & Professionalism, Hematology, Neurology",N/A,N/A,"Q:
Immune-mediated demyelinating disease characterized by positive aquaporin-4 antibodies

   [ image ]





     330
     Show Answer



NEURO: 30
Score: 70","A: Neuromyelitis optica (accept Devic disease)


 


NEURO: 30	Score: 70"
"Ethics & Professionalism, Hematology, Neurology",N/A,N/A,"Q:
Enzyme whose low plasma levels support the diagnosis of thrombotic thrombocytopenic purpura

   [ image ]





     240
     Show Answer



HEMAT: 40
Score: 100","A: ADAMTS13 (accept a disintegrin and metalloproteinase with a thrombospondin type 1 motif, member 13)


 


HEMAT: 40	Score: 100"
"Ethics & Professionalism, Hematology, Neurology",N/A,N/A,"Q: Ethical principle of truth-telling

Show Answer


ETHICS: 50	Score: 140","A: Veracity (accept honesty and truthfulness)


 


ETHICS: 50	Score: 140"
"Ethics & Professionalism, Hematology, Neurology",N/A,N/A,"Q:
Molecular target of the neuromyelitis optica spectrum disorder therapy inebilizumab

   [ image ]





     350
     Show Answer



NEURO: 50
Score: 190","A: CD19 (accept B-lymphocyte antigen CD19, cluster of differentiation 19)


 


NEURO: 50	Score: 190"
"Hospital Medicine, Infectious Diseases, Neurology",N/A,N/A,"Q: Iterative four-step approach to change that is often used in quality improvement initiatives

Show Answer


HOSP: 10	Score: 0","A: Plan-Do-Study-Act (PDSA) cycle


 


HOSP: 10	Score: 0"
"Hospital Medicine, Infectious Diseases, Neurology",N/A,N/A,"Q:
Most common primary brain tumor, traditionally associated with the dural tail sign

   [ image ]





     310
     Show Answer



NEURO: 10
Score: 10","A: Meningioma


 


NEURO: 10	Score: 10"
"Hospital Medicine, Infectious Diseases, Neurology",N/A,N/A,"Q:
Ocular finding of redness without exudate that can occur with leptospirosis

   [ image ]





     220
     Show Answer



INFDIS: 20
Score: 20","A: Conjunctival suffusion (accept subconjunctival hemorrhage, circumcorneal conjunctival congestion, and chemosis)


 


INFDIS: 20	Score: 20"
"Hospital Medicine, Infectious Diseases, Neurology",N/A,N/A,"Q: Drug of choice for the first episode of nonfulminant Clostridioides difficile colitis based on 2021 IDSA guidelines

Show Answer


HOSP: 30	Score: 40","A: Fidaxomicin


 


HOSP: 30	Score: 40"
"Hospital Medicine, Infectious Diseases, Neurology",N/A,N/A,"Q: Shock-like sensation radiating down the spine or limbs induced by neck movements due to a lesion within the spinal cord

Show Answer


NEURO: 30	Score: 70","A: Lhermitte sign (accept the barber chair phenomenon)


 


NEURO: 30	Score: 70"
"Hospital Medicine, Infectious Diseases, Neurology",N/A,N/A,"Q: Bacterial infection transmitted via fecal-oral route for which there is an oral and intramuscular vaccine available

Show Answer


INFDIS: 40	Score: 100","A: Typhoid fever (accept Salmonella typhi infection)


 


INFDIS: 40	Score: 100"
"Hospital Medicine, Infectious Diseases, Neurology",N/A,N/A,"Q: Preferred anticoagulant in patients with severe renal impairment and HIT

Show Answer


HOSP: 50	Score: 140","A: Argatroban


 


HOSP: 50	Score: 140"
"Hospital Medicine, Infectious Diseases, Neurology",N/A,N/A,"Q: Condition for which the ESETT study found fosphenytoin, valproate, and levetiracetam to be of equal benefit as second-line drugs

Show Answer


NEURO: 50	Score: 190","A: Convulsive status epilepticus (accept status epilepticus or SE but not epilepsy)


 


NEURO: 50	Score: 190"
